rowname,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_life_choices,generosity,perceptions_of_corruption
Namibia_2018,4.441,0.874,1.281,0.365,0.519,0.051,0.064
Cambodia_2018,4.433,0.549,1.088,0.457,0.696,0.256,0.065
Burkina Faso_2018,4.424,0.314,1.097,0.254,0.312,0.175,0.128
Egypt_2018,4.419,0.885,1.025,0.553,0.312,0.092,0.107
Mozambique_2018,4.417,0.198,0.902,0.173,0.531,0.206,0.158
Kenya_2018,4.41,0.493,1.048,0.454,0.504,0.352,0.055
Zambia_2018,4.377,0.562,1.047,0.295,0.503,0.221,0.082
Mauritania_2018,4.356,0.557,1.245,0.292,0.129,0.134,0.093
Ethiopia_2018,4.35,0.308,0.95,0.391,0.452,0.22,0.146
Georgia_2018,4.34,0.853,0.592,0.643,0.375,0.038,0.215
Armenia_2018,4.321,0.816,0.99,0.666,0.26,0.077,0.028
Myanmar_2018,4.308,0.682,1.174,0.429,0.58,0.598,0.178
Chad_2018,4.301,0.358,0.907,0.053,0.189,0.181,0.06
Congo (Kinshasa)_2018,4.245,0.069,1.136,0.204,0.312,0.197,0.052
India_2018,4.19,0.721,0.747,0.485,0.539,0.172,0.093
Niger_2018,4.166,0.131,0.867,0.221,0.39,0.175,0.099
Uganda_2018,4.161,0.322,1.09,0.237,0.45,0.259,0.061
Benin_2018,4.141,0.378,0.372,0.24,0.44,0.163,0.067
Sudan_2018,4.139,0.605,1.24,0.312,0.016,0.134,0.082
Ukraine_2018,4.103,0.793,1.413,0.609,0.163,0.187,0.011
Togo_2018,3.999,0.259,0.474,0.253,0.434,0.158,0.101
Guinea_2018,3.964,0.344,0.792,0.211,0.394,0.185,0.094
Lesotho_2018,3.808,0.472,1.215,0.079,0.423,0.116,0.112
Angola_2018,3.795,0.73,1.125,0.269,0,0.079,0.061
Madagascar_2018,3.774,0.262,0.908,0.402,0.221,0.155,0.049
Zimbabwe_2018,3.692,0.357,1.094,0.248,0.406,0.132,0.099
Afghanistan_2018,3.632,0.332,0.537,0.255,0.085,0.191,0.036
Botswana_2018,3.59,1.017,1.174,0.417,0.557,0.042,0.092
Malawi_2018,3.587,0.186,0.541,0.306,0.531,0.21,0.08
Haiti_2018,3.582,0.315,0.714,0.289,0.025,0.392,0.104
Liberia_2018,3.495,0.076,0.858,0.267,0.419,0.206,0.03
Syria_2018,3.462,0.689,0.382,0.539,0.088,0.376,0.144
Rwanda_2018,3.408,0.332,0.896,0.4,0.636,0.2,0.444
Yemen_2018,3.355,0.442,1.073,0.343,0.244,0.083,0.064
Tanzania_2018,3.303,0.455,0.991,0.381,0.481,0.27,0.097
South Sudan_2018,3.254,0.337,0.608,0.177,0.112,0.224,0.106
Central African Republic_2018,3.083,0.024,0,0.01,0.305,0.218,0.038
Burundi_2018,2.905,0.091,0.627,0.145,0.065,0.149,0.076
